attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,layered_navigation_canonical,store_name,frontend_display_type,range_slider_range,range_slider_step,range_slider_default,categories,_options,_attribute_sets
,4,links_purchased_separately,,,int,,,,Links can be purchased separately,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,1,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,samples_title,,,varchar,,,,Samples title,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,links_title,,,varchar,,,,Links title,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,links_exist,,,int,,,,,,,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,cap_code,,,varchar,,,text,Asset ID,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,1,0,0,,0,0,0,1,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,doors,,,varchar,,,select,Doors,,,0,0,,0,,,1,1,1,0,0,1,1,0,1,1,1,1,,1,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,transmission,,,int,,,select,Transmission,,,0,1,,0,,,1,1,1,2,0,1,1,0,1,1,1,1,,1,100,0,0,0,bmw,0,,,,"7,8,9,11",,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,fuel_type,,,int,,,select,Fuel Type,,eav/entity_attribute_source_table,0,1,,0,,,1,1,1,2,1,0,1,0,1,0,0,1,,1,99,0,1,0,"bmw,demo,mini,motorrad",0,,,,"7,8",,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,seats,,,varchar,,,select,Seats,,,0,0,,0,,,1,1,1,0,0,1,1,0,1,1,1,1,,1,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,max_towing_weight_unbraked,,,varchar,,,text,Max. Towing Weight - Unbraked,,,0,1,,0,,,1,1,0,0,1,0,1,0,0,0,0,0,,0,29,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
